Country,Unemployment,GDPgrowth,figure,CountryName,Reason
00_United_Kingdom_Manchester,5,0.5,,英国曼彻斯特,入围
00_Turkey_Istanbul,10,0.5,,土耳其伊斯坦布尔,入围
00_Germany_Berlin,15,0.5,,德国柏林,入围
00_China_Beijing,20,0.5,,中国北京,入围
00_Australia_Sydney,25,0.5,,澳大利亚悉尼,成功申办
00_Italy_Milan,-5,0.5,a,意大利米兰,落选
00_Brazil_Brasilia,-10,0.5,a,巴西巴西利亚,落选
00_Uzbekistan_Tashkent,-15,0.5,a,乌兹别克斯坦塔什干,落选
02_Sweden_?stersund,5,1.5,,瑞典厄斯特松德,入围
02_Canada_Quebec_City,10,1.5,,加拿大魁北克,入围
02_Switzerland_Sion,15,1.5,,瑞士锡永,入围
02_Salt_Lake_City,20,1.5,,美国盐湖城,成功申办
02_Austria_Graz,-5,1.5,,奥地利格拉茨,落选
02_Spain_Jaca,-10,1.5,,西班牙雅卡,落选
02_Slovakia_Poprad-Tatry,-15,1.5,,斯洛伐尼亚,落选
02_Russia_Sochi,-20,1.5,,俄罗斯索契,落选
02_Italy_Tarvisio,-25,1.5,,意大利塔尔维西奥,落选
04_Argentina_Buenos_Aires,5,2.5,,阿根廷布宜诺斯艾利斯,入围
04_South_Africa_Cape_Town,10,2.5,,南非开普敦,入围
04_Italy_Rome,15,2.5,,意大利罗马,入围
04_Sweden_Stockholm,20,2.5,,瑞典斯德哥尔摩,入围
04_Athens,25,2.5,,希腊雅典,成功申办
04_Turkey_Istanbul,-5,2.5,,土耳其伊斯坦布尔,落选
04_France_Lille,-10,2.5,,法国里尔,落选
04_Brazil_Rio_de_Janeiro,-15,2.5,,巴西里约,落选
04_Russia_Saint_Petersburg,-20,2.5,,俄罗斯圣彼得堡,落选
04_Puerto_Rico_San_Juan,-25,2.5,,波多黎各圣胡安,落选
04_Spain_Seville,-30,2.5,,西班牙塞维利亚,落选
06_Switzerland_Sion,5,3.5,,瑞士锡永,入围
06_Turin,10,3.5,,意大利都灵,成功申办
06_Finland_Helsinki,-5,3.5,,芬兰赫尔辛基,落选
06_Austria_Klagenfurt,-10,3.5,,奥地利克拉根福,落选
06_Slovakia_Poprad-Tatry,-15,3.5,,斯洛文尼亚波普拉德-塔特拉斯,落选
06_Poland_Zakopane,-20,3.5,,波兰扎克帕内,落选
08_Turkey_Istanbul,5,4.5,,土耳其伊斯坦布尔,入围
08_Japan_Osaka,10,4.5,,日本大阪,入围
08_France_Paris,15,4.5,,法国巴黎,入围
08_Canada_Toronto,20,4.5,,加拿大多伦多,入围
08_Beijing,25,4.5,,中国北京,成功申办
08_Thailand_Bangkok,-5,4.5,,泰国曼谷,落选
08_Egypt_Cairo,-10,4.5,,埃及开罗,落选
08_Cuba_Havana,-15,4.5,,古巴哈瓦那,落选
08_Malaysia_Kuala_Lumpur,-20,4.5,,马来西亚吉隆坡,落选
08_Spain_Seville,-25,4.5,,西班牙塞维利亚,落选
10_South_Korea_Pyeongchang,5,5.5,,韩国平昌,入围
10_Austria_Salzburg,10,5.5,,奥地利萨尔兹堡,入围
10_Vancouver,15,5.5,,加拿大温哥华,成功申办
10_Andorra_Andorra_la_Vella,-10,5.5,,安道尔安道尔城,落选
10_China_Harbin,-15,5.5,,中国哈尔滨,落选
10_Spain_Jaca,-20,5.5,,西班牙雅卡,落选
10_Bosnia_and_Herzegovina_Sarajevo,-25,5.5,,波黑萨拉热窝,落选
10_Switzerland_Bern,-5,5.5,b,瑞士伯尔尼,落选
12_Spain_Madrid,5,6.5,,西班牙马德里,入围
12_Russia_Moscow,10,6.5,,俄罗斯莫斯科,入围
12_United_States_New_York_City,15,6.5,,美国纽约,入围
12_France_Paris,20,6.5,,法国巴黎,入围
12_London,25,6.5,,英国伦敦,成功申办
12_Cuba_Havana,-5,6.5,,古巴哈瓦那,落选
12_Turkey_Istanbul,-10,6.5,,土耳其伊斯坦布尔,落选
12_Germany_Leipzig,-15,6.5,,德国莱比锡,落选
12_Brazil_Rio_de_Janeiro,-20,6.5,,巴西里约,落选
14_South_Korea_Pyeongchang,5,7.5,,韩国平昌,入围
14_Austria_Salzburg,10,7.5,,奥地利萨尔兹堡,入围
14_Sochi,15,7.5,,俄罗斯索契,成功申办
14_Kazakhstan_Almaty,-5,7.5,,哈萨克斯坦阿拉木图,落选
14_Georgia_(country)_Borjomi,-10,7.5,,格鲁吉亚博尔若米,落选
14_Spain_Jaca,-15,7.5,,西班牙雅卡,落选
14_Bulgaria_Sofia,-20,7.5,,保加利亚索非亚,落选
16_Japan_Tokyo,5,8.5,,日本东京,入围
